,Team,Over,Ball,Ball ID,score,Runs,bowler,on_strike_batter,commentary,fow,Batting_Order_Strike,out_batsman,Batting_Order_Out,partnership_key,Batting_Order_NonStrike,non_strike_batter,partnership_key_name,nb_runs,wide_runs,leg_bye_flag,bye_flag,leg_bye_runs,bye_runs,extras_runs,Bat_Runs
92,Lancashire,15,2,92,1,1,Sam Curran,Croft,"Sam Curran to Croft,  1 run",,3,,,"(3, 5)",5,Mitchell,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,1
93,Lancashire,15,3,93,1,1,Sam Curran,Mitchell,"Sam Curran to Mitchell,  1 run",,5,,,"(3, 5)",3,Croft,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,1
94,Lancashire,15,4,94,1w,1,Sam Curran,Croft,"Sam Curran to Croft, 1 wide",,3,,,"(3, 5)",5,Mitchell,"('Croft', 'Mitchell')",0,1,0,0,0,0,1,0
95,Lancashire,15,4,95,1,1,Sam Curran,Croft,"Sam Curran to Croft,  1 run",,3,,,"(3, 5)",5,Mitchell,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,1
96,Lancashire,15,5,96,1,1,Sam Curran,Mitchell,"Sam Curran to Mitchell,  1 run",,5,,,"(3, 5)",3,Croft,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,1
97,Lancashire,15,6,97,1,1,Sam Curran,Croft,"Sam Curran to Croft,  1 run",,3,,,"(3, 5)",5,Mitchell,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,1
98,Lancashire,16,1,98,1,1,Jordan,Croft,"Jordan to Croft,  1 run",,3,,,"(3, 5)",5,Mitchell,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,1
99,Lancashire,16,2,99,1,1,Jordan,Mitchell,"Jordan to Mitchell,  1 run",,5,,,"(3, 5)",3,Croft,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,1
100,Lancashire,16,3,100,0,0,Jordan,Croft,"Jordan to Croft, no run",,3,,,"(3, 5)",5,Mitchell,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,0
101,Lancashire,16,4,101,1,1,Jordan,Croft,"Jordan to Croft,  1 run",,3,,,"(3, 5)",5,Mitchell,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,1
102,Lancashire,16,5,102,1,1,Jordan,Mitchell,"Jordan to Mitchell,  1 run",,5,,,"(3, 5)",3,Croft,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,1
103,Lancashire,16,6,103,0,0,Jordan,Croft,"Jordan to Croft, no run",,3,,,"(3, 5)",5,Mitchell,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,0
104,Lancashire,17,1,104,2,2,Sam Curran,Mitchell,"Sam Curran to Mitchell,  2 runs",,5,,,"(3, 5)",3,Croft,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,2
105,Lancashire,17,2,105,0,0,Sam Curran,Mitchell,"Sam Curran to Mitchell, no run",,5,,,"(3, 5)",3,Croft,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,0
106,Lancashire,17,3,106,6,6,Sam Curran,Mitchell,"Sam Curran to Mitchell,  SIX runs",,5,,,"(3, 5)",3,Croft,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,6
107,Lancashire,17,4,107,2,2,Sam Curran,Mitchell,"Sam Curran to Mitchell,  2 runs",,5,,,"(3, 5)",3,Croft,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,2
108,Lancashire,17,5,108,4,4,Sam Curran,Mitchell,"Sam Curran to Mitchell, FOUR runs",,5,,,"(3, 5)",3,Croft,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,4
109,Lancashire,17,6,109,0,0,Sam Curran,Mitchell,"Sam Curran to Mitchell, no run",,5,,,"(3, 5)",3,Croft,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,0
110,Lancashire,18,1,110,W,0,Jordan,Croft,"Jordan to Croft, OUT",Steven Croft b Jordan 55 (41b 7x4 1x6 58m) SR: 134.14,3,Croft,3,"(3, 5)",5,Mitchell,"('Croft', 'Mitchell')",0,0,0,0,0,0,0,0
111,Lancashire,18,2,111,1,1,Jordan,Wells,"Jordan to Wells,  1 run",,6,,,"(6, 5)",5,Mitchell,"('Wells', 'Mitchell')",0,0,0,0,0,0,0,1
112,Lancashire,18,3,112,1W,1,Jordan,Mitchell,"Jordan to Mitchell, 1 run, OUT",Luke Wells run out (Jordan) 1 (1b 0x4 0x6 3m) SR: 100,5,Wells,6,"(6, 5)",6,Wells,"('Wells', 'Mitchell')",0,0,0,0,0,0,0,1
113,Lancashire,18,4,113,3nb,3,Jordan,Mitchell,"Jordan to Mitchell, (no ball) 1 run",,5,,,"(7, 5)",7,Vilas,"('Vilas', 'Mitchell')",2,0,0,0,0,0,2,1
114,Lancashire,18,4,114,2nb,2,Jordan,Vilas,"Jordan to Vilas, (no ball)",,7,,,"(7, 5)",5,Mitchell,"('Vilas', 'Mitchell')",2,0,0,0,0,0,2,0
115,Lancashire,18,4,115,2,2,Jordan,Vilas,"Jordan to Vilas,  2 runs",,7,,,"(7, 5)",5,Mitchell,"('Vilas', 'Mitchell')",0,0,0,0,0,0,0,2
116,Lancashire,18,5,116,W,0,Jordan,Vilas,"Jordan to Vilas, OUT",Dane Vilas c Curran b Jordan 2 (3b 0x4 0x6 4m) SR: 66.66,7,Vilas,7,"(7, 5)",5,Mitchell,"('Vilas', 'Mitchell')",0,0,0,0,0,0,0,0
117,Lancashire,18,6,117,1,1,Jordan,Jones,"Jordan to Jones,  1 run",,8,,,"(8, 5)",5,Mitchell,"('Jones', 'Mitchell')",0,0,0,0,0,0,0,1
118,Lancashire,19,1,118,1,1,Abbott,Jones,"Abbott to Jones,  1 run",,8,,,"(8, 5)",5,Mitchell,"('Jones', 'Mitchell')",0,0,0,0,0,0,0,1
119,Lancashire,19,2,119,1w,1,Abbott,Mitchell,"Abbott to Mitchell, 1 wide",,5,,,"(8, 5)",8,Jones,"('Jones', 'Mitchell')",0,1,0,0,0,0,1,0
120,Lancashire,19,2,120,0,0,Abbott,Mitchell,"Abbott to Mitchell, no run",,5,,,"(8, 5)",8,Jones,"('Jones', 'Mitchell')",0,0,0,0,0,0,0,0
121,Lancashire,19,3,121,0,0,Abbott,Mitchell,"Abbott to Mitchell, no run",,5,,,"(8, 5)",8,Jones,"('Jones', 'Mitchell')",0,0,0,0,0,0,0,0
122,Lancashire,19,4,122,1,1,Abbott,Mitchell,"Abbott to Mitchell,  1 run",,5,,,"(8, 5)",8,Jones,"('Jones', 'Mitchell')",0,0,0,0,0,0,0,1
123,Lancashire,19,5,123,1,1,Abbott,Jones,"Abbott to Jones,  1 run",,8,,,"(8, 5)",5,Mitchell,"('Jones', 'Mitchell')",0,0,0,0,0,0,0,1
124,Lancashire,19,6,124,1,1,Abbott,Mitchell,"Abbott to Mitchell,  1 run",,5,,,"(8, 5)",8,Jones,"('Jones', 'Mitchell')",0,0,0,0,0,0,0,1
125,Surrey,0,1,0,0,0,Wood,Jacks,"Wood to Jacks, no run",,2,,,"(1, 2)",1,Evans,"('Evans', 'Jacks')",0,0,0,0,0,0,0,0
126,Surrey,0,2,1,0,0,Wood,Jacks,"Wood to Jacks, no run",,2,,,"(1, 2)",1,Evans,"('Evans', 'Jacks')",0,0,0,0,0,0,0,0
127,Surrey,0,3,2,0,0,Wood,Jacks,"Wood to Jacks, no run",,2,,,"(1, 2)",1,Evans,"('Evans', 'Jacks')",0,0,0,0,0,0,0,0
128,Surrey,0,4,3,0,0,Wood,Jacks,"Wood to Jacks, no run",,2,,,"(1, 2)",1,Evans,"('Evans', 'Jacks')",0,0,0,0,0,0,0,0
129,Surrey,0,5,4,2,2,Wood,Jacks,"Wood to Jacks,  2 runs",,2,,,"(1, 2)",1,Evans,"('Evans', 'Jacks')",0,0,0,0,0,0,0,2
130,Surrey,0,6,5,1w,1,Wood,Jacks,"Wood to Jacks, 1 wide",,2,,,"(1, 2)",1,Evans,"('Evans', 'Jacks')",0,1,0,0,0,0,1,0
131,Surrey,0,6,6,4,4,Wood,Jacks,"Wood to Jacks, FOUR runs",,2,,,"(1, 2)",1,Evans,"('Evans', 'Jacks')",0,0,0,0,0,0,0,4
132,Surrey,1,1,7,0,0,Bailey,Evans,"Bailey to Evans, no run",,1,,,"(1, 2)",2,Jacks,"('Evans', 'Jacks')",0,0,0,0,0,0,0,0
133,Surrey,1,2,8,2,2,Bailey,Evans,"Bailey to Evans,  2 runs",,1,,,"(1, 2)",2,Jacks,"('Evans', 'Jacks')",0,0,0,0,0,0,0,2
134,Surrey,1,3,9,0,0,Bailey,Evans,"Bailey to Evans, no run",,1,,,"(1, 2)",2,Jacks,"('Evans', 'Jacks')",0,0,0,0,0,0,0,0
135,Surrey,1,4,10,1,1,Bailey,Evans,"Bailey to Evans,  1 run",,1,,,"(1, 2)",2,Jacks,"('Evans', 'Jacks')",0,0,0,0,0,0,0,1
136,Surrey,1,5,11,1,1,Bailey,Jacks,"Bailey to Jacks,  1 run",,2,,,"(1, 2)",1,Evans,"('Evans', 'Jacks')",0,0,0,0,0,0,0,1
137,Surrey,1,6,12,1,1,Bailey,Evans,"Bailey to Evans,  1 run",,1,,,"(1, 2)",2,Jacks,"('Evans', 'Jacks')",0,0,0,0,0,0,0,1
